,gene_symbol,myAUC,myDiff,power,cluster #
2016,SAG,0.186,-1.773021,0.314,14
2017,RPGRIP1,0.260,-1.792548,0.240,14
2018,RHO,0.186,-1.793033,0.314,14
2019,RS1,0.268,-1.840885,0.232,14
2024,SLC17A8,1.000,3.971625,0.500,15
2025,LAMP5,0.940,2.673730,0.440,15
2026,A930001A20RIK,0.889,2.597410,0.389,15
2027,CAR3,0.835,2.514193,0.335,15
2028,TFAP2B,0.905,2.503643,0.405,15
2029,GRIA3,0.826,2.061066,0.326,15
2030,GABRA2,0.842,2.031614,0.342,15
2031,PCP4,0.909,1.973695,0.409,15
2032,CDC7,0.832,1.955872,0.332,15
2033,SNHG11,0.887,1.937983,0.387,15
2034,VSTM2L,0.832,1.918272,0.332,15
2035,STMN2,0.849,1.904450,0.349,15
2036,CAMK2N1,0.861,1.838364,0.361,15
2037,THSD7A,0.787,1.831897,0.287,15
2038,ITM2B,0.910,1.821993,0.410,15
2039,SPHKAP,0.831,1.715234,0.331,15
2040,RBFOX1,0.735,1.705497,0.235,15
2041,OLFM1,0.839,1.659507,0.339,15
2042,CACNG4,0.815,1.640851,0.315,15
2043,PDE1C,0.762,1.600665,0.262,15
2044,NXPH1,0.756,1.565593,0.256,15
2045,TFAP2A,0.747,1.543928,0.247,15
2046,CELF4,0.841,1.542615,0.341,15
2047,CADM3,0.799,1.512073,0.299,15
2048,SLC24A3,0.743,1.506017,0.243,15
2049,HPGD,0.706,1.448453,0.206,15
2050,GPHN,0.809,1.446959,0.309,15
2051,GNG3,0.818,1.418323,0.318,15
2052,NEUROD2,0.737,1.357057,0.237,15
2053,2900011O08RIK,0.772,1.324460,0.272,15
2054,NXPH3,0.734,1.317785,0.234,15
2055,MARCKS,0.815,1.293783,0.315,15
2056,RAB3C,0.739,1.288257,0.239,15
2057,CDK14,0.739,1.286933,0.239,15
2058,SORCS1,0.717,1.234444,0.217,15
2059,CALM1,0.893,1.233054,0.393,15
2060,A830010M20RIK,0.747,1.230927,0.247,15
2061,SIX6,0.750,1.213235,0.250,15
2062,NSG2,0.731,1.208784,0.231,15
2063,SNCB,0.795,1.174871,0.295,15
2064,NREP,0.813,1.167885,0.313,15
2065,TAGLN3,0.765,1.156591,0.265,15
2066,NSG1,0.707,1.149341,0.207,15
2067,CHGA,0.768,1.148225,0.268,15
2068,MEG3,0.820,1.127476,0.320,15
2069,GRIA2,0.786,1.124935,0.286,15
2070,ELAVL3,0.721,1.121228,0.221,15
2071,NNAT,0.713,1.097324,0.213,15
2072,CALM2,0.818,1.097061,0.318,15
2073,NRXN2,0.746,1.092058,0.246,15
2074,TCEAL5,0.701,1.076692,0.201,15
2075,PGM2L1,0.749,1.071344,0.249,15
2076,RUNX1T1,0.726,1.057725,0.226,15
2077,RTN1,0.787,1.038594,0.287,15
2078,NRXN3,0.757,1.036936,0.257,15
2079,HLF,0.729,1.032907,0.229,15
2080,TTC3,0.783,1.000773,0.283,15
2081,A030009H04RIK,0.710,1.000074,0.210,15
2082,GNAT1,0.299,-1.040079,0.201,15
2083,GNB1,0.299,-1.128978,0.201,15
2084,PDE6G,0.299,-1.189289,0.201,15
2085,PRPH2,0.281,-1.204277,0.219,15
2086,TULP1,0.275,-1.241916,0.225,15
2087,SAG,0.232,-1.259884,0.268,15
2088,ROM1,0.278,-1.321566,0.222,15
2089,RCVRN,0.291,-1.325043,0.209,15
2090,PDC,0.246,-1.329612,0.254,15
2091,GNGT1,0.240,-1.347078,0.260,15
2092,RHO,0.227,-1.442002,0.273,15
2097,LAMP5,0.946,2.657760,0.446,16
2098,GJD2,0.928,2.371019,0.428,16
2099,DNER,0.912,2.349418,0.412,16
2100,TFAP2B,0.937,2.307419,0.437,16
2101,SLC6A9,0.877,2.261401,0.377,16
2102,DYNC1I1,0.871,2.238846,0.371,16
2103,CAR2,0.951,2.212296,0.451,16
2104,TMEM132A,0.830,2.024931,0.330,16
2105,HSPA12A,0.882,2.015750,0.382,16
