,gene_symbol,myAUC,myDiff,power,cluster #
2463,CAMK2A,0.701,1.028493,0.201,19
2464,NGFRAP1,0.770,1.026982,0.270,19
2465,A030009H04RIK,0.719,1.026299,0.219,19
2466,GPM6A,0.792,1.021982,0.292,19
2467,NAP1L5,0.759,1.016867,0.259,19
2468,MAPT,0.724,1.007727,0.224,19
2469,NDN,0.717,1.007103,0.217,19
2470,ATP6V1G2,0.711,1.000069,0.211,19
2471,CST3,0.295,-1.464654,0.205,19
2472,GNB1,0.232,-1.731344,0.268,19
2473,HMGN1,0.193,-1.764691,0.307,19
2474,FAM57B,0.287,-1.846219,0.213,19
2475,UNC119,0.235,-1.869744,0.265,19
2476,AIPL1,0.299,-1.912009,0.201,19
2477,NEUROD1,0.267,-1.949197,0.233,19
2478,CNGA1,0.258,-2.018138,0.242,19
2479,ROM1,0.220,-2.018487,0.280,19
2480,RP1,0.224,-2.025188,0.276,19
2481,NR2E3,0.250,-2.051380,0.250,19
2482,PDE6B,0.216,-2.080446,0.284,19
2483,RS1,0.250,-2.098084,0.250,19
2484,PRPH2,0.185,-2.112352,0.315,19
2485,RCVRN,0.209,-2.119590,0.291,19
2486,SLC24A1,0.260,-2.160451,0.240,19
2487,NRL,0.243,-2.171600,0.257,19
2488,PDE6G,0.194,-2.189464,0.306,19
2489,TULP1,0.190,-2.209461,0.310,19
2490,GNAT1,0.190,-2.263062,0.310,19
2491,SAG,0.144,-2.317843,0.356,19
2492,GNGT1,0.153,-2.323731,0.347,19
2493,RHO,0.162,-2.332956,0.338,19
2494,RPGRIP1,0.228,-2.401760,0.272,19
2495,PDC,0.156,-2.470951,0.344,19
2596,LAMP5,0.944,2.824713,0.444,22
2597,TFAP2B,0.872,2.223340,0.372,22
2598,CACNG4,0.834,1.969710,0.334,22
2599,ZFP804A,0.751,1.834667,0.251,22
2600,DPP6,0.764,1.729152,0.264,22
2601,GRIA1,0.718,1.703132,0.218,22
2602,NEUROD2,0.712,1.641371,0.212,22
2603,CELF4,0.860,1.622471,0.360,22
2604,PAX6,0.803,1.597197,0.303,22
2605,SLC6A9,0.760,1.571800,0.260,22
2606,MEG3,0.866,1.469502,0.366,22
2607,2900011O08RIK,0.729,1.446080,0.229,22
2608,ELAVL3,0.749,1.390450,0.249,22
2609,RAB3C,0.713,1.382919,0.213,22
2610,NRSN1,0.702,1.336043,0.202,22
2611,PNMAL2,0.747,1.334122,0.247,22
2612,TCF4,0.788,1.329726,0.288,22
2613,GRIA2,0.780,1.313318,0.280,22
2614,MARCKSL1,0.716,1.298641,0.216,22
2615,SLC32A1,0.704,1.296328,0.204,22
2616,SNHG11,0.784,1.279440,0.284,22
2617,MAPT,0.702,1.244966,0.202,22
2618,NRXN2,0.701,1.211145,0.201,22
2619,GNG3,0.760,1.195139,0.260,22
2620,NAP1L5,0.724,1.176074,0.224,22
2621,TTC3,0.805,1.171854,0.305,22
2622,TAGLN3,0.710,1.156623,0.210,22
2623,PTPRD,0.717,1.099502,0.217,22
2624,BASP1,0.727,1.088889,0.227,22
2625,THRA,0.713,1.076652,0.213,22
2626,SV2A,0.747,1.060584,0.247,22
2627,SNCB,0.757,1.048856,0.257,22
2628,PLEKHA1,0.702,1.025231,0.202,22
2629,GPM6A,0.708,1.019030,0.208,22
2630,HMGN1,0.273,-1.040507,0.227,22
2631,GNB1,0.285,-1.170599,0.215,22
2632,PDE6B,0.293,-1.193748,0.207,22
2633,RP1,0.295,-1.213102,0.205,22
2634,UNC119,0.278,-1.263254,0.222,22
2635,PRPH2,0.245,-1.315824,0.255,22
2636,PDE6G,0.264,-1.337712,0.236,22
2637,RPGRIP1,0.288,-1.352712,0.212,22
2638,PDC,0.226,-1.365109,0.274,22
2639,TULP1,0.248,-1.369050,0.252,22
2640,GNAT1,0.254,-1.389822,0.246,22
2641,NR2E3,0.292,-1.390392,0.208,22
2642,ROM1,0.261,-1.428090,0.239,22
2643,GNGT1,0.219,-1.443382,0.281,22
2644,RCVRN,0.259,-1.447967,0.241,22
2645,SAG,0.208,-1.466971,0.292,22
2646,RHO,0.216,-1.494424,0.284,22
2651,TFAP2B,0.928,2.494440,0.428,23
2652,GAD1,0.917,2.437951,0.417,23
2653,FBXW7,0.917,2.420581,0.417,23
2654,2610017I09RIK,0.846,2.309127,0.346,23
2655,PCP4,0.938,2.265534,0.438,23
2656,SLC6A1,0.885,2.235858,0.385,23
2657,DKK3,0.939,2.182791,0.439,23
2658,CELF4,0.935,2.157447,0.435,23
2659,GUCY1A3,0.889,2.108061,0.389,23
2660,SIX3,0.889,2.095564,0.389,23
2661,C1QL2,0.822,2.067956,0.322,23
2662,GUCY1B3,0.865,2.029309,0.365,23
2663,CBFA2T3,0.786,2.026242,0.286,23
2664,POU3F3,0.772,1.859852,0.272,23
2665,NAP1L5,0.860,1.807160,0.360,23
2666,TKT,0.836,1.783663,0.336,23
2667,HPGD,0.751,1.778162,0.251,23
2668,SNHG11,0.895,1.776925,0.395,23
2669,ADARB1,0.803,1.745295,0.303,23
2670,GAD2,0.747,1.658875,0.247,23
2671,LRRN3,0.768,1.658143,0.268,23
2672,CACNG4,0.822,1.640376,0.322,23
2673,OLFM1,0.774,1.633329,0.274,23
2674,MEG3,0.894,1.607437,0.394,23
2675,ELAVL4,0.717,1.469508,0.217,23
2676,KCNIP1,0.731,1.459041,0.231,23
2677,KCND3,0.724,1.426750,0.224,23
2678,ELAVL3,0.756,1.383776,0.256,23
2679,SLC32A1,0.738,1.352046,0.238,23
2680,GNG3,0.797,1.337489,0.297,23
2681,NDRG4,0.760,1.318015,0.260,23
2682,HAP1,0.735,1.314020,0.235,23
2683,FRMD5,0.721,1.311942,0.221,23
2684,APC,0.800,1.285337,0.300,23
2685,TMX4,0.759,1.279036,0.259,23
2686,SCG2,0.808,1.243538,0.308,23
2687,GRIA2,0.774,1.215973,0.274,23
2688,LDHB,0.727,1.201661,0.227,23
2689,TTC3,0.838,1.197850,0.338,23
2690,BASP1,0.772,1.194948,0.272,23
2691,MARCKSL1,0.704,1.159591,0.204,23
2692,GPRASP1,0.738,1.153237,0.238,23
2693,PAX6,0.748,1.152232,0.248,23
2694,HSD17B12,0.736,1.142303,0.236,23
2695,SIX3OS1,0.721,1.135949,0.221,23
2696,IMPACT,0.704,1.129338,0.204,23
2697,6430548M08RIK,0.708,1.125889,0.208,23
2698,TRIM9,0.711,1.124665,0.211,23
2699,TAGLN3,0.728,1.095091,0.228,23
2700,SNCB,0.779,1.067869,0.279,23
2701,HMGN1,0.286,-1.009380,0.214,23
2702,GNB1,0.270,-1.275684,0.230,23
2703,UNC119,0.280,-1.310248,0.220,23
2704,ROM1,0.271,-1.317239,0.229,23
2705,RPGRIP1,0.295,-1.333701,0.205,23
2706,TULP1,0.243,-1.374221,0.257,23
2707,PDE6G,0.255,-1.375311,0.245,23
2708,RCVRN,0.266,-1.381017,0.234,23
2709,PRPH2,0.236,-1.387400,0.264,23
2710,PDE6B,0.278,-1.393976,0.222,23
2711,RP1,0.274,-1.402082,0.226,23
2712,RS1,0.293,-1.450358,0.207,23
2713,GNGT1,0.219,-1.451672,0.281,23
2714,RHO,0.212,-1.459768,0.288,23
2715,SAG,0.209,-1.461985,0.291,23
2716,PDC,0.215,-1.492115,0.285,23
2717,GNAT1,0.243,-1.525967,0.257,23
2722,RHO,1.8,57266 0.44,5    2,24
2723,GNAT1,1.7,80155 0.38,9    2,24
2724,SLC24A1,1.7,43717 0.30,2    2,24
2725,PDE6B,1.7,43134 0.35,5    2,24
2726,PDC,1.7,00660 0.41,9    2,24
2727,CNGA1,1.6,80377 0.31,2    2,24
2728,RP1,1.6,73527 0.34,0    2,24
2729,SAG,1.6,50156 0.43,0    2,24
2730,NR2E3,1.6,44369 0.31,0    2,24
2731,NRL,1.6,44321 0.30,8    2,24
2732,GNB1,1.6,19807 0.36,7    2,24
2733,GNGT1,1.6,08430 0.40,2    2,24
2734,PRPH2,1.5,97904 0.38,0    2,24
2735,PDE6A,1.5,88021 0.23,7    2,24
2736,PDE6G,1.5,58813 0.35,6    2,24
2737,RCVRN,1.5,36418 0.34,2    2,24
2738,RPGRIP1,1.5,33882 0.29,4    2,24
2739,RS1,1.5,19606 0.29,0    2,24
2740,GUCA1B,1.5,06131 0.20,7    2,24
2741,CNGB1,1.4,95706 0.21,5    2,24
2742,ROM1,1.4,77666 0.32,0    2,24
2743,RDH12,1.4,27972 0.20,4    2,24
2744,FAM57B,1.3,66885 0.23,1    2,24
2745,TULP1,1.3,49889 0.33,5    2,24
2746,AIPL1,1.1,64169 0.20,6    2,24
2747,HMGN1,1.1,36452 0.29,7    2,24
2748,UNC119,1.0,69530 0.23,2    2,24
2749,SERINC1,-1.0,08401 0.21,9    2,24
2750,BEX2,-1.0,15902 0.20,9    2,24
2751,ITM2B,-1.0,43926 0.23,4    2,24
2752,YWHAB,-1.0,51200 0.24,7    2,24
2753,MAP4,-1.0,88812 0.21,0    2,24
2754,HSP90AB1,-1.1,88043 0.29,1    2,24
2755,GNAS,-1.2,07829 0.27,1    2,24
2756,TMSB10,-1.3,40497 0.21,0    2,24
2757,HMGN3,-1.3,53477 0.21,7    2,24
2758,SCG3,-1.3,66486 0.21,4    2,24
2759,CPLX3,-1.4,40524 0.23,9    2,24
2760,TTC3,-1.4,59532 0.28,5    2,24
2761,CELF4,-1.4,77617 0.22,3    2,24
2762,ITM2C,-1.5,36542 0.22,6    2,24
2763,GPM6A,-1.6,04191 0.21,8    2,24
2764,PTPRD,-1.6,22257 0.21,0    2,24
2765,APP,-1.6,28911 0.21,1    2,24
2766,NRXN3,-1.6,82084 0.23,8    2,24
2767,NME1,-1.6,87771 0.24,7    2,24
2768,GNAO1,-1.9,02619 0.27,5    2,24
2769,CALM1,-1.9,04185 0.32,7    2,24
2770,MEG3,-2.1,49534 0.32,2    2,24
2775,PDE6H,0.981,3.791576,0.481,25
2776,OPN1SW,0.832,3.587490,0.332,25
2777,GNGT2,0.964,3.261674,0.464,25
2778,OPN1MW,0.891,3.211129,0.391,25
2779,ARR3,0.918,3.071492,0.418,25
2780,GNAT2,0.941,3.020245,0.441,25
2781,PDE6C,0.879,2.613656,0.379,25
2782,KCNE2,0.853,2.337871,0.353,25
2783,GUCA1A,0.881,1.790297,0.381,25
2784,CD59A,0.725,1.742573,0.225,25
2785,CCDC136,0.730,1.673432,0.230,25
2786,GNB3,0.831,1.569696,0.331,25
2787,SCG3,0.756,1.297292,0.256,25
2788,4930447C04RIK,0.703,1.275268,0.203,25
2793,PCP2,0.988,3.533209,0.488,26
2794,TRPM1,0.990,3.445746,0.490,26
2795,GNG13,0.968,2.839805,0.468,26
2796,ISL1,0.948,2.719519,0.448,26
2797,CAR8,0.913,2.699407,0.413,26
2798,PRKCA,0.937,2.609664,0.437,26
2799,GPR179,0.900,2.431366,0.400,26
2800,CALM1,0.988,2.421322,0.488,26
2801,QPCT,0.875,2.374165,0.375,26
2802,VSX2,0.895,2.348176,0.395,26
2803,PCP4,0.945,2.313286,0.445,26
2804,GRM6,0.873,2.232811,0.373,26
2805,GNAO1,0.948,2.215946,0.448,26
2806,LRTM1,0.886,2.179512,0.386,26
2807,TRNP1,0.855,2.159361,0.355,26
2808,CACNA2D3,0.803,2.101927,0.303,26
2809,NME1,0.917,2.066828,0.417,26
2810,GM4792,0.870,2.059987,0.370,26
2811,LIN7A,0.875,2.018521,0.375,26
2812,PROX1,0.850,2.002116,0.350,26
2813,ABLIM1,0.874,1.975136,0.374,26
2814,CABP5,0.840,1.934630,0.340,26
2815,VSTM2B,0.782,1.934535,0.282,26
2816,STRIP2,0.761,1.913167,0.261,26
2817,SEBOX,0.763,1.858373,0.263,26
2818,RPA1,0.790,1.856293,0.290,26
2819,CCDC136,0.803,1.850276,0.303,26
2820,CHGB,0.903,1.837030,0.403,26
2821,B3GALT2,0.775,1.744162,0.275,26
2822,MAP4,0.873,1.732032,0.373,26
2823,RNF152,0.743,1.723092,0.243,26
2824,ZBTB20,0.807,1.707863,0.307,26
2825,CNTN4,0.737,1.705791,0.237,26
2826,IFT20,0.804,1.668409,0.304,26
2827,CASP7,0.725,1.663103,0.225,26
2828,TMSB10,0.844,1.659561,0.344,26
2829,ITM2C,0.829,1.654655,0.329,26
2830,NDNF,0.746,1.643132,0.246,26
2831,TGFB2,0.782,1.633774,0.282,26
2832,GNB3,0.844,1.600635,0.344,26
2833,PTPRD,0.810,1.574528,0.310,26
2834,CLTB,0.779,1.568857,0.279,26
2835,PRDM8,0.706,1.551374,0.206,26
2836,CAR10,0.758,1.546273,0.258,26
2837,NEUROD4,0.787,1.443959,0.287,26
2838,KCNMA1,0.746,1.443881,0.246,26
2839,GABRR1,0.702,1.424760,0.202,26
2840,MAP6,0.704,1.389962,0.204,26
2841,CPLX3,0.833,1.368767,0.333,26
2842,CNTNAP2,0.705,1.357327,0.205,26
2843,REV3L,0.745,1.315953,0.245,26
2844,HMGN3,0.760,1.309377,0.260,26
2845,HSPA12A,0.710,1.264275,0.210,26
2846,CAMSAP2,0.701,1.226712,0.201,26
2847,PPP3CA,0.768,1.224280,0.268,26
2848,ANK3,0.715,1.182166,0.215,26
2849,DNAJA1,0.713,1.141870,0.213,26
2850,ZFP365,0.701,1.138197,0.201,26
2851,APLP2,0.840,1.116573,0.340,26
2852,ATP2B1,0.827,1.109752,0.327,26
2853,2010107E04RIK,0.807,1.078386,0.307,26
2854,GLS,0.729,1.030787,0.229,26
2855,MACF1,0.729,1.028031,0.229,26
2856,NRXN3,0.726,1.013354,0.226,26
2857,ROM1,0.247,-1.535062,0.253,26
2858,CST3,0.258,-1.542458,0.242,26
2859,PRPH2,0.199,-1.778911,0.301,26
2860,FAM57B,0.266,-1.812713,0.234,26
2861,AIPL1,0.282,-1.854518,0.218,26
2862,PDE6A,0.288,-1.862827,0.212,26
2863,NRL,0.236,-1.917565,0.264,26
2864,SLC24A1,0.247,-1.968291,0.253,26
2865,CNGA1,0.234,-1.993041,0.266,26
2866,NR2E3,0.232,-2.003551,0.268,26
2867,RS1,0.232,-2.056603,0.268,26
2868,TULP1,0.179,-2.057501,0.321,26
2869,RP1,0.204,-2.067114,0.296,26
2870,GNAT1,0.181,-2.080109,0.319,26
2871,PDE6B,0.199,-2.104653,0.301,26
2872,RPGRIP1,0.217,-2.108733,0.283,26
2873,PDE6G,0.180,-2.114659,0.320,26
2874,GNB1,0.165,-2.145253,0.335,26
2875,RCVRN,0.188,-2.149677,0.312,26
2876,GNGT1,0.146,-2.187446,0.354,26
2877,RHO,0.143,-2.216846,0.357,26
2878,SAG,0.133,-2.285265,0.367,26
2879,PDC,0.141,-2.289428,0.359,26
2884,GRIK1,3.0,10898 0.41,6    2,27
2885,GSG1,2.6,94718 0.37,2    2,27
2886,OTOR,2.5,74650 0.31,1    2,27
2887,NNAT,2.5,09846 0.31,0    2,27
2888,FAM19A3,2.1,90301 0.30,8    2,27
2889,SLITRK6,1.9,42192 0.22,2    2,27
2890,LHX4,1.9,30099 0.27,5    2,27
2891,PCP4,1.6,79884 0.34,1    2,27
2892,PHYHIPL,1.6,59067 0.24,2    2,27
2893,SPHKAP,1.6,43517 0.27,0    2,27
2894,CACNA2D1,1.6,00775 0.20,7    2,27
2895,CABP5,1.5,47771 0.25,6    2,27
2896,SCGN,1.5,42676 0.21,1    2,27
2897,BC030499,1.4,55994 0.20,4    2,27
2898,LRTM1,1.4,08952 0.25,4    2,27
2899,NME1,1.3,17789 0.27,7    2,27
2900,CADPS,1.2,34166 0.21,5    2,27
2901,NEUROD4,1.2,22587 0.23,2    2,27
2902,VSX2,1.1,50766 0.20,9    2,27
2903,NRXN3,1.1,38040 0.21,8    2,27
2904,APP,1.1,24188 0.23,3    2,27
2905,PRPH2,-1.0,16461 0.21,9    2,27
2906,SAG,-1.0,43850 0.24,5    2,27
2907,GNAT1,-1.0,51331 0.21,1    2,27
2908,RCVRN,-1.0,59446 0.20,1    2,27
2909,PDC,-1.0,75620 0.23,9    2,27
2910,RHO,-1.0,94430 0.23,9    2,27
2915,SLIT2,0.911,2.494784,0.411,28
2916,SCGN,0.910,2.432819,0.410,28
2917,CDH8,0.874,2.307964,0.374,28
2918,SCG2,0.930,2.181234,0.430,28
2919,ZFHX4,0.851,2.178856,0.351,28
2920,VSX1,0.779,1.895571,0.279,28
2921,NETO1,0.751,1.891687,0.251,28
2922,GABRA1,0.861,1.787593,0.361,28
2923,PDE1A,0.752,1.652362,0.252,28
2924,NEUROD4,0.854,1.610346,0.354,28
2925,GRIA2,0.837,1.599678,0.337,28
2926,CADPS,0.828,1.587531,0.328,28
2927,CHRNA6,0.747,1.566433,0.247,28
2928,NTNG1,0.770,1.535756,0.270,28
2929,IGF1,0.745,1.475532,0.245,28
2930,TACR3,0.706,1.466025,0.206,28
2931,LRTM1,0.810,1.446170,0.310,28
2932,LHX4,0.769,1.437311,0.269,28
2933,GRIK1,0.740,1.435103,0.240,28
2934,TNNT1,0.717,1.388436,0.217,28
2935,PTPRD,0.808,1.388278,0.308,28
2936,THSD7A,0.765,1.381783,0.265,28
2937,ESAM,0.708,1.372116,0.208,28
2938,A730046J19RIK,0.711,1.372055,0.211,28
2939,NRXN3,0.819,1.340482,0.319,28
2940,SPHKAP,0.761,1.298899,0.261,28
2941,GLRA1,0.711,1.292095,0.211,28
2942,CAR10,0.758,1.238441,0.258,28
2943,BC030499,0.717,1.204192,0.217,28
2944,PGM2L1,0.735,1.189284,0.235,28
2945,TMEM215,0.713,1.158325,0.213,28
2946,PCP4L1,0.717,1.150546,0.217,28
2947,GUCY1B3,0.726,1.146479,0.226,28
2948,CNTN1,0.713,1.136843,0.213,28
2949,FRMD3,0.704,1.067778,0.204,28
2950,SAMSN1,0.719,1.063324,0.219,28
2951,HMGN3,0.745,1.013834,0.245,28
2952,APP,0.761,1.009757,0.261,28
2953,GNB1,0.281,-1.213742,0.219,28
2954,PRPH2,0.262,-1.246574,0.238,28
2955,TULP1,0.270,-1.255972,0.230,28
2956,RCVRN,0.288,-1.299880,0.212,28
2957,GNGT1,0.251,-1.319077,0.249,28
2958,GNAT1,0.263,-1.357660,0.237,28
2959,SAG,0.220,-1.392674,0.280,28
2960,PDE6G,0.262,-1.411349,0.238,28
2961,PDC,0.228,-1.424123,0.272,28
2962,RHO,0.225,-1.457060,0.275,28
2967,SLIT2,0.817,2.116591,0.317,29
2968,GABRA1,0.832,2.006228,0.332,29
2969,PCDH17,0.702,1.882124,0.202,29
2970,WLS,0.708,1.845341,0.208,29
2971,PCDH10,0.727,1.819161,0.227,29
2972,ZFHX4,0.726,1.772755,0.226,29
2973,GLRA1,0.744,1.767981,0.244,29
2974,A730046J19RIK,0.706,1.664659,0.206,29
2975,SLC24A3,0.739,1.605346,0.239,29
2976,NRXN3,0.824,1.586941,0.324,29
2977,KCNMA1,0.754,1.572355,0.254,29
2978,FAM19A3,0.708,1.512326,0.208,29
2979,CABP5,0.747,1.504850,0.247,29
2980,TMEM215,0.728,1.483366,0.228,29
2981,PHYHIPL,0.738,1.470131,0.238,29
2982,PTPRD,0.786,1.461384,0.286,29
2983,SPHKAP,0.755,1.453958,0.255,29
2984,CADPS,0.761,1.431341,0.261,29
2985,MEG3,0.863,1.430565,0.363,29
2986,LRTM1,0.754,1.359036,0.254,29
2987,THSD7A,0.703,1.356030,0.203,29
2988,NEUROD4,0.762,1.294731,0.262,29
2989,NME1,0.772,1.192665,0.272,29
2990,VSX2,0.726,1.181568,0.226,29
2991,SCG3,0.707,1.048887,0.207,29
2992,APP,0.718,1.021875,0.218,29
2993,ROM1,0.288,-1.125274,0.212,29
2994,PDE6B,0.285,-1.189444,0.215,29
2995,RP1,0.293,-1.195551,0.207,29
2996,TULP1,0.261,-1.220904,0.239,29
2997,GNB1,0.262,-1.221726,0.238,29
2998,PRPH2,0.250,-1.249883,0.250,29
2999,SAG,0.222,-1.257367,0.278,29
3000,GNAT1,0.257,-1.311936,0.243,29
3001,RCVRN,0.261,-1.362927,0.239,29
3002,PDC,0.222,-1.366220,0.278,29
3003,RHO,0.220,-1.378427,0.280,29
3004,PDE6G,0.248,-1.428805,0.252,29
3005,GNGT1,0.220,-1.431648,0.280,29
3010,NFIA,2.23,6944 0.350,30,30
3011,NEUROD4,2.12,5019 0.409,30,30
3012,LHX4,2.05,9044 0.370,30,30
3013,EPHA7,1.93,1362 0.305,30,30
3014,CABP5,1.86,8986 0.325,30,30
3015,HLF,1.81,5451 0.286,30,30
3016,PTPRZ1,1.75,6697 0.286,30,30
3017,ATP2B1,1.72,8502 0.423,30,30
3018,TMEM215,1.69,9286 0.310,30,30
3019,CDH9,1.66,4116 0.214,30,30
3020,LMO4,1.64,8088 0.294,30,30
3021,SULF2,1.64,4281 0.259,30,30
3022,GUCY1A3,1.60,6336 0.309,30,30
3023,SYT4,1.59,7987 0.297,30,30
3024,GM4792,1.58,3695 0.262,30,30
3025,GRM6,1.56,8053 0.276,30,30
3026,CAR10,1.53,4313 0.294,30,30
3027,GABRR2,1.51,5185 0.214,30,30
3028,NDNF,1.50,7846 0.253,30,30
3029,NRXN3,1.50,5059 0.329,30,30
3030,KCNG4,1.48,2390 0.201,30,30
3031,GNAO1,1.44,6431 0.362,30,30
3032,VIPR2,1.42,0776 0.233,30,30
3033,FRMD3,1.40,6949 0.251,30,30
3034,SAMSN1,1.40,4241 0.248,30,30
3035,THSD7A,1.40,1838 0.253,30,30
3036,SOX4,1.35,3433 0.222,30,30
3037,APP,1.30,8034 0.308,30,30
3038,GPR179,1.30,2301 0.289,30,30
3039,TUBB2A,1.28,1518 0.281,30,30
3040,LPHN2,1.26,1045 0.205,30,30
3041,PFKP,1.25,3969 0.268,30,30
3042,ISL1,1.23,4990 0.314,30,30
3043,PROX1,1.21,4681 0.276,30,30
3044,RRBP1,1.16,9975 0.205,30,30
3045,GABRB3,1.16,0288 0.203,30,30
3046,MEIS2,1.13,1658 0.209,30,30
3047,GNG13,1.09,5088 0.228,30,30
3048,LIN7A,1.08,9638 0.254,30,30
3049,GRIA2,1.02,6466 0.255,30,30
3050,HMGN1,-1.17,6538 0.244,30,30
3051,ROM1,-1.26,0595 0.210,30,30
3052,RPGRIP1,-1.55,6331 0.227,30,30
3053,RS1,-1.57,7275 0.221,30,30
3054,GNGT1,-1.58,9959 0.281,30,30
3055,RP1,-1.60,4790 0.245,30,30
3056,GNB1,-1.61,1631 0.275,30,30
3057,NRL,-1.62,8679 0.228,30,30
3058,NR2E3,-1.64,1338 0.229,30,30
3059,CNGA1,-1.66,4166 0.228,30,30
3060,PDE6B,-1.67,9470 0.252,30,30
3061,TULP1,-1.68,8332 0.278,30,30
3062,PRPH2,-1.69,0732 0.288,30,30
3063,SLC24A1,-1.69,0999 0.220,30,30
3064,PDE6G,-1.72,7951 0.273,30,30
3065,SAG,-1.74,5533 0.320,30,30
3066,GNAT1,-1.75,8815 0.283,30,30
3067,RCVRN,-1.82,2401 0.277,30,30
3068,PDC,-1.83,3586 0.314,30,30
3069,RHO,-1.85,2674 0.320,30,30
3136,IGFN1,0.906,2.609491,0.406,32
3137,VSX1,0.915,2.599423,0.415,32
3138,GM4792,0.916,2.180753,0.416,32
3139,RELN,0.823,2.118713,0.323,32
3140,KCNMA1,0.866,1.893963,0.366,32
3141,GABRR2,0.825,1.851548,0.325,32
3142,GNB3,0.904,1.829577,0.404,32
3143,NDNF,0.827,1.827548,0.327,32
3144,FN1,0.770,1.821386,0.270,32
3145,TMSB10,0.882,1.803877,0.382,32
3146,GNG13,0.903,1.777596,0.403,32
3147,HS3ST4,0.749,1.761498,0.249,32
3148,CDH9,0.746,1.710895,0.246,32
3149,TRNP1,0.838,1.698429,0.338,32
3150,B3GALT2,0.814,1.691321,0.314,32
3151,CADPS,0.842,1.679079,0.342,32
3152,GRM6,0.863,1.668717,0.363,32
3153,PTPRD,0.849,1.654509,0.349,32
3154,LRTM1,0.843,1.632109,0.343,32
3155,CABP2,0.752,1.631417,0.252,32
3156,NME1,0.885,1.576501,0.385,32
3157,GABRA1,0.816,1.567486,0.316,32
3158,GPR179,0.821,1.563361,0.321,32
3159,IGF1,0.781,1.547194,0.281,32
3160,ADCY2,0.719,1.544332,0.219,32
3161,NRXN3,0.849,1.526952,0.349,32
3162,THSD7A,0.786,1.515832,0.286,32
3163,GRIA2,0.827,1.451331,0.327,32
3164,TTYH1,0.863,1.434237,0.363,32
3165,PROX1,0.810,1.418727,0.310,32
3166,GUCY1A3,0.781,1.414072,0.281,32
3167,SULF2,0.722,1.410361,0.222,32
3168,BC030499,0.734,1.321296,0.234,32
3169,SNCB,0.837,1.317248,0.337,32
3170,SH3BGRL,0.722,1.302330,0.222,32
3171,CAR10,0.764,1.297869,0.264,32
3172,FSCN1,0.709,1.288708,0.209,32
3173,4930447C04RIK,0.737,1.286988,0.237,32
3174,ASIC3,0.715,1.284343,0.215,32
3175,TMEM215,0.725,1.282754,0.225,32
3176,TUBB2A,0.789,1.250102,0.289,32
3177,GNAO1,0.855,1.247950,0.355,32
3178,SLC4A10,0.704,1.241247,0.204,32
3179,LPHN2,0.718,1.218956,0.218,32
3180,FRMD3,0.728,1.173764,0.228,32
3181,ATP2B1,0.855,1.171837,0.355,32
3182,PLK5,0.756,1.171749,0.256,32
3183,RIT2,0.715,1.170071,0.215,32
3184,SAMSN1,0.721,1.164145,0.221,32
3185,NAP1L5,0.762,1.144805,0.262,32
3186,PCP4L1,0.730,1.119889,0.230,32
3187,MYO5A,0.707,1.115274,0.207,32
3188,GLS,0.764,1.097304,0.264,32
3189,GUCY1B3,0.711,1.095756,0.211,32
3190,TPI1,0.772,1.082205,0.272,32
3191,MEG3,0.831,1.080701,0.331,32
3192,CAMK2B,0.706,1.058614,0.206,32
3193,MIF,0.772,1.047922,0.272,32
3194,TGFB2,0.737,1.045723,0.237,32
3195,PLCB4,0.724,1.021512,0.224,32
3196,GABRG2,0.706,1.011047,0.206,32
3197,HMGN1,0.260,-1.184526,0.240,32
3198,CST3,0.289,-1.381971,0.211,32
3199,TULP1,0.239,-1.536871,0.261,32
3200,NRL,0.277,-1.561603,0.223,32
3201,RPGRIP1,0.275,-1.597091,0.225,32
3202,SLC24A1,0.276,-1.639280,0.224,32
3203,RP1,0.250,-1.663774,0.250,32
3204,GNB1,0.206,-1.720470,0.294,32
3205,NR2E3,0.269,-1.722247,0.231,32
3206,GNAT1,0.225,-1.727259,0.275,32
3207,CNGA1,0.260,-1.776749,0.240,32
3208,PRPH2,0.200,-1.839337,0.300,32
3209,SAG,0.175,-1.845768,0.325,32
3210,PDE6G,0.212,-1.904791,0.288,32
3211,PDE6B,0.229,-1.905210,0.271,32
3212,RS1,0.254,-1.915177,0.246,32
3213,RCVRN,0.220,-1.923512,0.280,32
3214,GNGT1,0.174,-1.926394,0.326,32
3215,RHO,0.175,-1.927010,0.325,32
3216,PDC,0.173,-1.986239,0.327,32
3221,SCGN,2.3,88592 0.33,2    3,33
3222,VSX1,2.2,63301 0.28,5    3,33
3223,SCG2,2.1,13311 0.34,3    3,33
3224,ISL1,2.0,29040 0.35,7    3,33
3225,CCK,1.9,93466 0.20,6    3,33
3226,GRM6,1.8,09452 0.31,7    3,33
3227,GABRA1,1.7,68523 0.30,5    3,33
3228,RELN,1.7,64877 0.22,9    3,33
3229,UNC13C,1.6,81823 0.22,6    3,33
3230,GNG13,1.6,70562 0.33,7    3,33
3231,FRMD3,1.6,58409 0.24,9    3,33
3232,PTPRZ1,1.6,36544 0.22,4    3,33
3233,CADPS,1.5,04070 0.25,7    3,33
3234,TRPM1,1.4,72669 0.34,8    3,33
3235,BC030499,1.4,54178 0.21,0    3,33
3236,SAMSN1,1.3,71458 0.21,0    3,33
3237,NEUROD4,1.3,61455 0.25,0    3,33
3238,PCP4L1,1.3,31851 0.21,1    3,33
